#run;event;Ncharged;Pcharged;E_ecal;E_hcal;E_lep
5227;1176;6;84,7;1,4;2,4;45,57
5227;1326;2;89,5;1,6;13,4;45,57
5227;1369;2;98,2;2,6;9,9;45,57
5227;1384;2;105,1;1,8;6,6;45,57
5227;1577;2;84,1;5,4;13,8;45,57
5227;1851;2;88,1;1,5;3,5;45,57
5227;2205;2;119,1;2,1;6,2;45,57
5227;2443;4;87,3;5,3;30,3;45,57
5227;2762;2;87,7;3;9,3;45,57
5227;2911;2;87;1,8;10;45,57
5227;3092;2;93;1,3;2,6;45,57
5227;3112;2;80,9;3,1;4,7;45,57
5227;3167;4;92,3;1,7;5,5;45,57
5227;3245;2;89;3,1;5,3;45,57
5227;3439;2;93,4;1,7;1,8;45,57
5227;3595;7;94,3;1,3;3,9;45,57
5227;3862;2;86,5;6,2;44,7;45,57
5227;3981;2;90,3;2,5;18,8;45,57
5227;4168;2;83,2;1,8;4,9;45,57
5227;4196;2;96,1;1,8;10,7;45,57
5227;5057;2;92,6;2,3;11,3;45,57
5227;5397;2;87,3;10,6;9,7;45,57
5227;5536;2;106,1;2,2;9,8;45,57
5227;6116;2;92,7;1,6;7,2;45,57
5227;6173;2;29;3,2;0,5;45,57
5227;6358;2;82,8;1,7;5,3;45,57
5227;6709;4;84,1;9;1,3;45,57
5227;7097;2;90,5;1,3;9,1;45,57
5227;7740;2;98,8;2,1;3,4;45,57
5227;7956;4;95;4;5,4;45,57
5227;8028;2;88,5;3,6;10;45,57
5227;8360;2;89,1;5,1;2,4;45,57
5227;8543;2;93,7;1,9;1,8;45,57
5227;9214;4;91,9;2,3;7,3;45,57
5227;9799;2;93,9;1,9;7,1;45,57
5227;9825;3;92,8;3,5;2,3;45,57
5227;9918;2;93,6;4,1;0;45,57
5227;9981;2;83,1;2,5;7,3;45,57
5227;10263;2;92,7;2,2;7,3;45,57
5227;11508;2;92,5;1,8;12,2;45,57
5227;13415;2;107,4;2;6,9;45,57
5227;13422;2;90,3;2;7,5;45,57
5227;13600;2;97;3;3,4;45,57
5227;13698;2;81;8,1;8,7;45,57
5227;14111;7;88,7;1,8;14,2;45,57
5227;14314;2;88,7;1,2;4,2;45,57
5227;14448;2;92,1;6,8;11,3;45,57
5227;14500;2;105,3;1,7;0;45,57
5227;14841;2;92,5;1,2;4,1;45,57
5228;774;3;92,5;3,9;0;45,57
